dcpa_val,dpsi_val,nb_cluster_vo,cluster_weights_vo,cluster_means_vo,nb_cluster_mvp,cluster_weights_mvp,cluster_means_mvp
0,0,2,"[0.5038527397260274, 0.4961472602739726]","[[-0.016925498953084133, -0.988450604163839], [0.01718836261239288, 1.0038018646254]]",2,"[0.4961472602739726, 0.5038527397260274]","[[-1.699723671177634e-15, 0.9998120599127052], [-1.2918958832001822e-15, -0.9845218160057991]]"
5,0,2,"[0.2910558742298704, 0.7089441257701296]","[[-0.3893833489836647, -1.5519999533891582], [0.15986070965164487, 0.637171092641039]]",2,"[0.2910558742298704, 0.7089441257701296]","[[-5.601358792853344e-16, -1.5442510682344364], [-2.933091454928193e-15, 0.6339898002640629]]"
10,0,2,"[0.8544468982132102, 0.1455531017867898]","[[0.14115093492463884, 0.40764974375788454], [-0.8286046607438399, -2.39304456473594]]",2,"[0.8544468982132102, 0.1455531017867898]","[[-7.612123128990076e-15, 0.4039175197001475], [2.6593899496345266e-14, -2.3711351225432096]]"
15,0,2,"[0.902978665104263, 0.09702133489573694]","[[0.07624613399241867, 0.23691570943815637], [-0.7096236344906315, -2.2049771968257654]]",2,"[0.9462424574876577, 0.05375754251234229]","[[-1.9558804388217637e-15, 0.22352744976016264], [1.1721538328015257e-15, -3.9345392942477586]]"
20,0,2,"[0.9824561403508771, 0.017543859649122806]","[[0.03391099618642723, 0.11485289349565657], [-1.8990157864403672, -6.431762035756753]]",2,"[0.9824561403508771, 0.017543859649122806]","[[-3.49162204146663e-15, 0.10881330625600613], [1.3974007136615304e-13, -6.093545150336342]]"
25,0,2,"[0.048442390365562596, 0.9515576096344375]","[[1.2279041040551, -2.213306254177389], [-0.06251078162570542, 0.11267614748474646]]",2,"[0.9998552193426958, 0.00014478065730418448]","[[-0.012033359436839362, 0.00137799172299705], [83.10234653238135, -9.516410839017162]]"
30,0,1,[1.0],"[[1.0008885170187228e-14, 4.789935634198544e-16]]",1,[1.0],"[[-8.373555875135396e-18, -3.658342597183719e-16]]"
35,0,1,[1.0],"[[8.60979332068855e-15, 1.835820431792501e-16]]",1,[1.0],"[[-1.3423879764035427e-17, 2.427047948743671e-16]]"
40,0,1,[1.0],"[[-1.0398941263054218e-14, 2.4967860754921896e-16]]",1,[1.0],"[[-2.2455608748240024e-17, 4.590011375344407e-16]]"
45,0,1,[1.0],"[[1.2068900176220125e-15, -2.8200471570143163e-16]]",1,[1.0],"[[-7.592890957043173e-18, 2.4736215070992216e-16]]"
